Week,Winner/tie,,Loser/tie,PtsW,PtsL
1,gb,@,CHI,10,3
1,tenn,@,cle,43,13
1,kc,@,jax,40,26
1,minn,,atl,28,12
1,phi,,was,32,27
1,lar,@,car,30,27
1,blt,@,mia,59,10
1,buf,@,nyj,17,16
1,lac,,ind,30,24
1,sea,,cin,21,20
1,dal,,nyg,35,17
1,det,@,ari,27,27
1,sf,@,tb,31,17
1,ne,,pitt,33,3
1,no,,hou,30,28
1,oak,,den,24,16
2,tb,@,car,20,14
2,ind,@,tenn,19,17
2,sf,@,cin,41,17
2,hou,,jax,13,12
2,dal,@,was,31,21
2,sea,@,pitt,28,26
2,det,,lac,13,10
2,gb,,minn,21,16
2,ne,@,mia,43,0
2,buf,@,nyg,28,14
2,blt,,ari,23,17
2,kc,@,oak,28,10
2,lar,,no,27,9
2,CHI,@,den,16,14
2,atl,,phi,24,20
2,cle,@,nyj,23,3
3,jax,,tenn,20,7
3,buf,,cin,21,17
3,gb,,den,27,16
3,ne,,nyj,30,14
3,minn,,oak,34,14
3,kc,,blt,33,28
3,dal,,mia,31,6
3,det,@,phi,27,24
3,ind,,atl,27,24
3,nyg,@,tb,32,31
3,car,@,ari,38,20
3,hou,@,lac,27,20
3,sf,,pitt,24,20
3,no,@,sea,33,27
3,lar,@,cle,20,13
3,CHI,@,was,31,15
4,phi,@,gb,34,27
4,lac,@,mia,30,10
4,car,@,hou,16,10
4,oak,@,ind,31,24
4,ne,@,buf,16,10
4,nyg,,was,24,3
4,cle,@,blt,40,25
4,kc,@,det,34,30
4,tenn,@,atl,24,10
4,sea,@,ari,27,10
4,tb,@,lar,55,40
4,CHI,,minn,16,6
4,jax,@,den,26,24
4,no,,dal,12,10
4,pitt,,cin,27,3
5,sea,,lar,30,29
5,phi,,nyj,31,6
5,hou,,atl,53,32
5,oak,,CHI,24,21
5,car,,jax,34,27
5,ne,@,was,33,7
5,minn,@,nyg,28,10
5,ari,@,cin,26,23
5,buf,@,tenn,14,7
5,blt,@,pitt,26,23
5,no,,tb,31,24
5,den,@,lac,20,13
5,gb,@,dal,34,24
5,ind,@,kc,19,13
5,sf,,cle,31,3
6,ne,,nyg,35,14
6,car,@,tb,37,26
6,was,@,mia,17,16
6,sea,@,cle,32,28
6,no,@,jax,13,6
6,hou,@,kc,31,24
6,minn,,phi,38,20
6,blt,,cin,23,17
6,sf,@,lar,20,7
6,ari,,atl,34,33
6,den,,tenn,16,0
6,nyj,,dal,24,22
6,pitt,@,lac,24,17
6,gb,,det,23,22
7,kc,@,den,30,6
7,buf,,mia,31,21
7,minn,@,det,42,30
7,ind,,hou,30,23
7,sf,@,was,9,0
7,gb,,oak,42,24
7,jax,@,cin,27,17
7,ari,@,nyg,27,21
7,lar,@,atl,37,10
7,tenn,,lac,23,20
7,no,@,CHI,36,25
7,blt,@,sea,30,16
7,dal,,phi,37,10
7,ne,@,nyj,33,0
8,minn,,was,19,9
8,lac,@,CHI,17,16
8,ind,,den,15,13
8,phi,@,buf,31,13
8,det,,nyg,31,26
8,sea,@,atl,27,20
