,Teams,Elo,Projected Wins
1,LAR,2141.6832,10.708416
2,NO,2099.095,10.495474999999999
3,KC,2074.688,10.37344
4,MIN,1992.913,9.964565
5,PITT,1972.0,9.86
6,NE,1922.0,9.61
7,CHI,1891.19,9.45595
8,CAR,1881.104,9.405520000000001
9,BLT,1848.2672,9.241336
10,PHI,1846.615,9.233075
11,LAC,1788.022,8.940109999999999
12,IND,1764.3758,8.821879000000001
13,HOU,1763.5955,8.8179775
14,DET,1742.4336,8.712168
15,JAX,1705.36,8.5268
16,SEA,1701.77,8.50885
17,DAL,1668.758,8.34379
18,TB,1602.183,8.010915
19,TENN,1593.176,7.965879999999999
20,DEN,1577.24,7.8862
21,ATL,1572.4957000000002,7.862478500000001
22,CLE,1495.72,7.4786
23,BUF,1456.4063999999998,7.282031999999999
24,MIA,1412.584,7.06292
25,ARI,1376.7920000000001,6.883960000000001
26,OAK,1373.8,6.869
27,SF,1372.0987,6.8604935000000005
28,WASH,1335.4234999999999,6.6771175
29,NYG,1328.8662,6.644330999999999
30,NYJ,1323.008,6.6150400000000005
31,GB,1270.1909999999998,6.350954999999999
32,CIN,1110.0529999999999,5.550265
