,Teams,Elo,Projected Wins
1,NO,2056,10.28
2,LAR,2036,10.18
3,PITT,1972,9.86
4,MIN,1937,9.685
5,KC,1932,9.66
6,NE,1922,9.61
7,HOU,1811,9.055
8,CHI,1805,9.025
9,LAC,1792,8.96
10,PHI,1777,8.885
11,IND,1760,8.8
12,CAR,1749,8.745
13,BLT,1683,8.415
14,ATL,1634,8.17
15,DAL,1625,8.125
16,SEA,1620,8.1
17,DET,1601,8.005
18,TB,1575,7.875
19,TENN,1543,7.715
20,JAX,1527,7.635
21,DEN,1491,7.455
22,CLE,1433,7.165
23,WASH,1412,7.06
24,SF,1402,7.01
25,BUF,1394,6.97
26,NYG,1377,6.885
27,GB,1365,6.825
28,OAK,1266,6.33
29,NYJ,1245,6.225
30,MIA,1206,6.03
31,CIN,1200,6.0
32,ARI,1200,6.0
